username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BrennaG5;2017-07-24 19:51;0;0;"@ SenatorShaheen @ SenatorHassan @ SenatorCollins Thank you for being "one of those women from the northeast" who stands against repeal/replace";;@ @ @;;"889634074150809602";https://twitter.com/BrennaG5/status/889634074150809602
michellecoutur3;2017-07-24 19:26;0;0;"@ SenatorShaheen @ SenatorHassan continue to stand for NH and don't allow repeal of ACA. Coverage is social justice issue 4 many";;@ @;;"889628003701059584";https://twitter.com/michellecoutur3/status/889628003701059584
SolidGraniteNH;2017-07-24 18:26;3;3;"Veterans Groups Fight Attempts to Privatize V.A. https://www.stripes.com/news/house-to-vote-monday-on-controversial-fix-to-urgent-va-funding-shortage-1.479548#.WXZukGLyvIX … # VetsAgainsttrump # gopHatesVets # Patriots # impeach # NMP # NHpolitics";;;# # # # # # #;"889612712283709441";https://twitter.com/SolidGraniteNH/status/889612712283709441
tpostle311;2017-07-24 17:53;0;1;"@ SenatorShaheen @ SenatorHassan Seemed for a while we were at a stalemate. Great positive message with real, tangible objectives! Great job!!";;@ @;;"889604358320652288";https://twitter.com/tpostle311/status/889604358320652288
TheFuzzyLobster;2017-07-24 17:29;4;3;"Called @ SenatorShaheen and Rep @ TeamSheaPorter as well. The senators are ABSOLUTELY listening & noting what is being said & whee calls fromhttps://twitter.com/thefuzzylobster/status/889591749747896320 …";;@ @;;"889598383429754882";https://twitter.com/TheFuzzyLobster/status/889598383429754882
AdamTomasek;2017-07-24 17:27;1;1;"Bipartisan leadership to improve US foreign assistance. @ SenToddYoung @ SenatorShaheen National Diplomacy and Development Strategy @ csis_usld";;@ @ @;;"889598040549580808";https://twitter.com/AdamTomasek/status/889598040549580808
NBlard;2017-07-24 17:18;0;0;"@ SenatorShaheen Thanks for your gd wk. Here are 95 Health Care stories for NH families and US economy. http://bit.ly/95Stories pic.twitter.com/J6fm1pp9W7";;@;;"889595784936796165";https://twitter.com/NBlard/status/889595784936796165
GingersnapLemon;2017-07-24 16:53;0;0;"Plz convince ur GOP colleagues to vote NO this week on any repeal/replace bill. Keep the ACA alive & make it better! Lives depend!! ty";;;;"889589329508675584";https://twitter.com/GingersnapLemon/status/889589329508675584
CininNewH;2017-07-24 16:39;0;1;"Here in NH, every time @ POTUS farts @ SenatorHassan, @ SenatorShaheen, @ TeamSheaPorter & @ RepAnnieKuster send another strongly worded letter.";;@ @ @ @ @;;"889585821686394881";https://twitter.com/CininNewH/status/889585821686394881
MarilynSkinne18;2017-07-24 16:19;0;1;"# ProtectOurCare";;;#;"889580908210118656";https://twitter.com/MarilynSkinne18/status/889580908210118656
MarikaBlog12;2017-07-24 16:15;0;0;"No bargain with wolves' lives! NO delisting, no precluding judicial review. @SenatorHassen @ SenatorShaheen pic.twitter.com/PQAtDdsYaK";;@SenatorHassen @;;"889579813077483520";https://twitter.com/MarikaBlog12/status/889579813077483520
FloridaVoice;2017-07-24 16:10;3;3;". @ SenatorShaheen, please # WorkTogether on real # HealthcareSOLUTIONS that meet our needs & # ProtectOurCare. # TWpic.twitter.com/MDnGgsAbw1";;@;# # # #;"889578472527593472";https://twitter.com/FloridaVoice/status/889578472527593472
ModernizeAid;2017-07-24 16:06;3;0;". @ SenToddYoung & @ SenatorShaheen "Defend Foreign Aid in Fresh Pitch Against Trump's Cuts" with reorg plan @ CSIS_USLDhttps://www.bloomberg.com/news/articles/2017-07-24/senators-defend-foreign-aid-in-fresh-pitch-against-trump-s-cuts …";;@ @ @;;"889577476883722240";https://twitter.com/ModernizeAid/status/889577476883722240
WIEric;2017-07-24 16:02;0;0;"@ SenatorShaheen Voting for this healthcare bill is a weak move. Basically you'll vote for anything just so it's not Obamacare. Very ignorant";;@;;"889576666141511680";https://twitter.com/WIEric/status/889576666141511680
Monadnock_Notes;2017-07-24 15:33;0;1;"When will you vote with @ Senategop to replace # Obamacare # Obama? Otherwise the only economic development we'll have are more welfare centers";;@;# #;"889569152230449152";https://twitter.com/Monadnock_Notes/status/889569152230449152
InclusvSecurity;2017-07-24 15:27;2;7;"Met with @ SenatorShaheen and women leaders from gov’t and civil society about key issues, including our favorite # womenpeacesecurity!pic.twitter.com/qPliIX2y4U";;@;#;"889567812502642688";https://twitter.com/InclusvSecurity/status/889567812502642688
V4DC2;2017-07-24 15:26;2;0;"# BREAKING ThankYou USRep @ ChelliePingree D- # ME01 Cosponsoring # DCstatehood bill # HR1291 2017 on 07/24/2017 134th Cosponsor # DCstatehoodNews";;@;# # # # #;"889567498319822849";https://twitter.com/V4DC2/status/889567498319822849
drou_bre;2017-07-24 15:21;0;0;"More ppl have taken advantage of disability under Obama than ever before. I know ppl who are on it, who are able to do everything but work.";;;;"889566280579264514";https://twitter.com/drou_bre/status/889566280579264514
drou_bre;2017-07-24 15:18;0;0;"The "gaps" it's on the verge of collapse. It's un affordable, insurance companies opting out, premiums through the roof!";;;;"889565430670647297";https://twitter.com/drou_bre/status/889565430670647297
drou_bre;2017-07-24 15:15;0;0;"Wait, isn't that what the unaffordable Obamacare was supposed to do? It put everyone on Medicaid, taxed the rest of us, high premiums, etc.";;;;"889564761817591812";https://twitter.com/drou_bre/status/889564761817591812
CCMFeltHats;2017-07-24 15:14;0;2;"I fully support this. No American is above the law. cc: @ RepAnnieKuster @ SenatorShaheen @ SenatorHassanhttps://twitter.com/thehill/status/889536940441317377 …";;@ @ @;;"889564567512207360";https://twitter.com/CCMFeltHats/status/889564567512207360
logandmar;2017-07-24 15:14;0;1;"With a net worth of $305 million, I'm sure you can afford a few full cost prescriptions.";;;;"889564495240200194";https://twitter.com/logandmar/status/889564495240200194
drou_bre;2017-07-24 15:11;0;0;"They get billions in donations, and they give millions to the DNC party of hate, deceit and corruption.";;;;"889563764445597696";https://twitter.com/drou_bre/status/889563764445597696
drou_bre;2017-07-24 15:08;0;0;"Your body, Your "choice" You pay.";;;;"889563067524231170";https://twitter.com/drou_bre/status/889563067524231170
drou_bre;2017-07-24 15:08;0;0;"It's human nature to want to save lives not take them. PP takes lives & I for one don't want my tax dollars going to fund abortion.";;;;"889562844982894592";https://twitter.com/drou_bre/status/889562844982894592
drou_bre;2017-07-24 15:04;0;0;"Do you actually think people are stupid enough to swallow this bull? PP is an abortion clinic nothing more. Just call any one of them & ask.";;;;"889561922416324611";https://twitter.com/drou_bre/status/889561922416324611
drou_bre;2017-07-24 15:02;0;0;"My father was a Korean War Vet couldn't get into the NH Veterans home either & he chose to see a regular doc bc he couldn't get into the VA.";;;;"889561447289716740";https://twitter.com/drou_bre/status/889561447289716740
drou_bre;2017-07-24 15:00;0;0;"He couldn't get into the NH Veterans Home either, long waiting list.";;;;"889560905616326656";https://twitter.com/drou_bre/status/889560905616326656
drou_bre;2017-07-24 14:59;0;0;"Excuse me but my elderly friend went into a NH Nursing home, he had Medicare & Tricare & he still had to pay 10,000 per month for lousy care";;;;"889560714616221700";https://twitter.com/drou_bre/status/889560714616221700
SenDavidWatters;2017-07-24 14:59;2;2;"TY @ SenatorShaheen for always fighting for NH small businesses and for economic development. @ NHDemshttps://twitter.com/SenatorShaheen/status/889538255582089216 …";;@ @;;"889560627282419716";https://twitter.com/SenDavidWatters/status/889560627282419716
drou_bre;2017-07-24 14:55;0;0;"The DNC claimed Russia hacked their computers but refused to turn them over. Seems kind of fishy to me.";;;;"889559758306463744";https://twitter.com/drou_bre/status/889559758306463744
drou_bre;2017-07-24 14:54;0;0;"Dems were anything but bipartisan for eight years! You got everything you wanted.";;;;"889559308710666240";https://twitter.com/drou_bre/status/889559308710666240
drou_bre;2017-07-24 14:53;0;0;"Why didn't Obama do anything about "Russia" when it was happening before Trump?";;;;"889559103210745856";https://twitter.com/drou_bre/status/889559103210745856
TechQn;2017-07-24 14:52;1;1;"OMG what? Shes a rich star...no wonder we are broke and in debt up to our eyeballs.";;;;"889558872028987392";https://twitter.com/TechQn/status/889558872028987392
drou_bre;2017-07-24 14:51;0;0;"When you Dems retire your "Fake Russia" stories.";;;;"889558566511796224";https://twitter.com/drou_bre/status/889558566511796224
drou_bre;2017-07-24 14:49;0;0;"No one goes to Planned Parenthood for "critical health" They go to a real doctor. Not an abortionist.";;;;"889558150101258240";https://twitter.com/drou_bre/status/889558150101258240
drou_bre;2017-07-24 14:48;0;0;"You have got to be on drugs to listen to this woman's lies. What happened to Ocare, Medicaid, don't they cover everything at PP? # DefundPP";;;#;"889557851059998722";https://twitter.com/drou_bre/status/889557851059998722
TechQn;2017-07-24 14:47;0;0;"LOL not their not. The others that complain r ones most helped by ACA, meaning they get it low cost, or free, while the rest of us suffer";;;;"889557746730680320";https://twitter.com/TechQn/status/889557746730680320
TechQn;2017-07-24 14:43;0;0;"you do realize its a parody account right? sheesh";;;;"889556611114582016";https://twitter.com/TechQn/status/889556611114582016
