username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jhansen0321;2017-07-24 19:50;0;0;"@ SenatorTester ask Gov. Bullock why that fire had to flare to a quarter of a million acres before he called for help to fight it!!!!";;@;;"889633963895083008";https://twitter.com/jhansen0321/status/889633963895083008
Karbunkle67;2017-07-24 19:49;0;1;"Impeach Trump now! Vote no to repeal ACA. Have a town hall!!!";;;;"889633677591928833";https://twitter.com/Karbunkle67/status/889633677591928833
Alexrosstweets;2017-07-24 18:20;0;0;"@ SenatorTester: "...devastating natural disaster and should be treated that way." 3/3";;@;;"889611231342055424";https://twitter.com/Alexrosstweets/status/889611231342055424
Alexrosstweets;2017-07-24 18:19;0;0;"@ SenatorTester "...communities are strong, tight-knit and always persevere, but they expect more from their government. Fires are a..." 2/3";;@;;"889611106997731329";https://twitter.com/Alexrosstweets/status/889611106997731329
Alexrosstweets;2017-07-24 18:18;0;0;"@ SenatorTester "Across Montana, over 250,000 acres have already burned and many of these fires continue to rage. Montana's...." 1/2";;@;;"889610788658450432";https://twitter.com/Alexrosstweets/status/889610788658450432
Alexrosstweets;2017-07-24 18:11;0;0;"@ SenatorTester calls for assistance from Congress, FEMA in coping with wildfires";;@;;"889608897060851714";https://twitter.com/Alexrosstweets/status/889608897060851714
Jarnocan;2017-07-24 17:42;0;0;"# Mediciad matters-many VETERANS MY children had their # healthcare due to dad being a FT Army Colonel! Many children+older workers STOP this!pic.twitter.com/Uq4owqgd6s";;;# #;"889601745361526784";https://twitter.com/Jarnocan/status/889601745361526784
ErikaCannonHint;2017-07-24 17:20;0;0;"Your constituents are depending on you, @ SenatorTester. Vote 'no' on # Obamacare repeal.";;@;#;"889596108506136577";https://twitter.com/ErikaCannonHint/status/889596108506136577
jwmcvety;2017-07-24 17:19;0;1;"https://twitter.com/thehill/status/889594298089525250 …";;;;"889595998359650307";https://twitter.com/jwmcvety/status/889595998359650307
RobertDRoseJr1;2017-07-24 17:09;0;0;"@ SenatorIsakson @ JerryMoran @ BillCassidy @ DeanHeller @ SenatorRounds @ SenThomTillis @ SenDanSullivan @ SenatorTester @ SenSherrodBrownhttps://twitter.com/RobertDRoseJr1/status/889593193850974208 …";;@ @ @ @ @ @ @ @ @;;"889593443747540995";https://twitter.com/RobertDRoseJr1/status/889593443747540995
lynn32187;2017-07-24 17:08;0;0;"http://interested-party.blogspot.com/2012/12/cheatgrass-fueling-mega-fires.html …";;;;"889593233512071168";https://twitter.com/lynn32187/status/889593233512071168
BillyPfeiffer;2017-07-24 17:02;0;1;"# ClimateChangeIsReal";;;#;"889591658811019264";https://twitter.com/BillyPfeiffer/status/889591658811019264
GilbertKla2;2017-07-24 17:02;0;1;"You ARE going to say no to TRUMPCARE? Right? It's the right thing to do.";;;;"889591522794115073";https://twitter.com/GilbertKla2/status/889591522794115073
TannerBeymer;2017-07-24 16:58;0;2;"Thank you @ SenatorTester, for bringing western # wildfires to the @ SenateFloor. The # LodgepoleComplex is current largest fire in the US.";;@ @;# #;"889590615960367104";https://twitter.com/TannerBeymer/status/889590615960367104
Chriss138;2017-07-24 16:56;0;0;"@ SenatorTester Pls oppose DOI budget request and to kill wild horses. They should be on the range & counted scientifically not by a model.";;@;;"889590153861320705";https://twitter.com/Chriss138/status/889590153861320705
MickG1791;2017-07-24 16:54;0;0;"And the VA of course!";;;;"889589700872286213";https://twitter.com/MickG1791/status/889589700872286213
MickG1791;2017-07-24 16:54;0;1;"I'm a vet and disagree! The only government healthcare should be for veterans and regulations on overpriced meds and procedures.";;;;"889589605783273473";https://twitter.com/MickG1791/status/889589605783273473
cf_carl;2017-07-24 16:52;0;2;"Uh, Senator, I agree that it's bad. But the healthcare vote is also important. Stand your ground.";;;;"889589115473321985";https://twitter.com/cf_carl/status/889589115473321985
MickG1791;2017-07-24 16:52;0;0;"REPEAL REPEAL REPEAL! Fed has no business in healthcare except to pass laws to regulate overpriced medicines and procedures!";;;;"889589111908179972";https://twitter.com/MickG1791/status/889589111908179972
SenatorTester;2017-07-24 16:50;12;38;"Speaking on the Senate Floor about the wildfires currently raging across Montana. # mtfire # MTfires WATCH LIVE HERE: https://www.facebook.com/senatortester/videos/10155547825851665/ …pic.twitter.com/f1EsJLXjFl";;;# #;"889588497216135170";https://twitter.com/SenatorTester/status/889588497216135170
MSMom_Blog;2017-07-24 16:14;0;1;"Now stop voting for healthcare changes so that veterans are alive and healthy enough to benefit from your bill. Vote NO on option to proceed";;;;"889579451507519488";https://twitter.com/MSMom_Blog/status/889579451507519488
faleyg2;2017-07-24 16:13;0;0;"Vote NO to repeal ACA.https://www.nytimes.com/interactive/2017/07/24/us/republican-health-bill-versions.html?hp=&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news&smid=tw-nytpolitics&smtyp=cur …";;;;"889579356477153280";https://twitter.com/faleyg2/status/889579356477153280
AdventureOtaku;2017-07-24 16:12;0;1;"Great! Thnx! Now refuse to vote for a health care bill that will leave millions uninsured.";;;;"889579174297559040";https://twitter.com/AdventureOtaku/status/889579174297559040
RobertDRoseJr1;2017-07-24 16:09;0;0;"@ SpeakerRyan @ SenatorIsakson @ JerryMoran @ BillCassidy @ DeanHeller @ SenatorRounds @ SenThomTillis @ SenDanSullivan @ SenatorTester https://twitter.com/RobertDRoseJr1/status/889577491245015040 …";;@ @ @ @ @ @ @ @ @;;"889578277546987521";https://twitter.com/RobertDRoseJr1/status/889578277546987521
Oteachjohn;2017-07-24 16:01;0;0;"And Steve Daines is still AWOL.";;;;"889576218730741760";https://twitter.com/Oteachjohn/status/889576218730741760
covfefeLane;2017-07-24 15:57;0;0;"Yes do something besides try and take down President Trump. The people have spoken # KatesLaw! # DefundPlannedParenthood the abortion giant .";;;# #;"889575203365433345";https://twitter.com/covfefeLane/status/889575203365433345
KarenNenon;2017-07-24 15:51;0;4;"Vote NO to repeal ACA. If there is no replacement, there should be no repeal.";;;;"889573783157321729";https://twitter.com/KarenNenon/status/889573783157321729
DennisSalisbury;2017-07-24 15:28;0;0;"@ SenatorTester & @ SteveDaines - please take note. Our fellow MTs depend on your wisdom on this vote - esp # Rural. Fix the # ACA, instead.https://twitter.com/treebaa/status/889533439761952768 …";;@ @;# #;"889568022066675714";https://twitter.com/DennisSalisbury/status/889568022066675714
emm_hicks;2017-07-24 15:18;0;1;"@ POTUS Great!! Now get the Senate to pass H.R.2288 - Veterans Appeals Improvement and Modernization Act of 2017. Veterans are Waiting!!";;@;;"889565431198957570";https://twitter.com/emm_hicks/status/889565431198957570
lang2007;2017-07-24 15:11;0;0;"@ SenatorTester how can VA interface with civilian clinic using VLER software but VA wants to spend a ton of money to interface with DoD why";;@;;"889563702193790977";https://twitter.com/lang2007/status/889563702193790977
