username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
BettyduzDallas;2017-07-24 19:56;0;0;"Just turn on the news....any given day, any given hour";;;;"889635346153189378";https://twitter.com/BettyduzDallas/status/889635346153189378
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
DennisB56204372;2017-07-24 19:53;0;0;"Agree. That is the major problem.";;;;"889634778122768385";https://twitter.com/DennisB56204372/status/889634778122768385
mgeinsc;2017-07-24 19:52;7;4;"@ LindseyGrahamSC @ SenatorTimScott This means YOU! https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889634401063243776";https://twitter.com/mgeinsc/status/889634401063243776
BorisDirnbach;2017-07-24 19:49;0;0;". @ lisamurkowski @ SenatorFischer @ SenCapito @ BillCassidy @ JeffFlake @ SenatorTimScott @ SenDeanHeller @ senrobportman @ SenatorCollins @ SenToomey";;@ @ @ @ @ @ @ @ @ @;;"889633682717364225";https://twitter.com/BorisDirnbach/status/889633682717364225
Jean22Russell;2017-07-24 19:49;0;0;"He won't listen. GOP suck buddy.";;;;"889633661443874816";https://twitter.com/Jean22Russell/status/889633661443874816
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
SoTweetingFunny;2017-07-24 19:40;0;1;"Hey @ SenatorTimScott Not a single hearing, no markup, crafted in secret, no actual final bill 16 hours before a vote. Trumpcare bad for SC!";;@;;"889631480560930817";https://twitter.com/SoTweetingFunny/status/889631480560930817
truhle81;2017-07-24 19:38;1;5;"In other words, he's too scared to admit to constituents that he will vote in favor of the disastrous bill. # PartyBeforeCountry";;;#;"889630988413919232";https://twitter.com/truhle81/status/889630988413919232
askDrSheilad;2017-07-24 19:36;0;0;"@ SenatorTimScott will send all info. To family who can keep you in Congress! If you are all about hating Trump Agenda US wants, resume?";;@;;"889630465786826755";https://twitter.com/askDrSheilad/status/889630465786826755
justinalpertesq;2017-07-24 19:35;0;1;"What does Justice need to maintain stability while the top formulates a new approach? https://www.washingtonpost.com/world/national-security/trump-leaves-sessions-twisting-in-the-wind-while-berating-him-publicly/2017/07/24/ce3bf142-708b-11e7-9eac-d56bd5568db8_story.html …";;;;"889630041935679488";https://twitter.com/justinalpertesq/status/889630041935679488
