username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
William30051960;2017-07-24 19:50;0;0;"Presidente. Urge una solución inmediata a la crisis en Venezuela no mas víctimas no mas represión no mas palabras...hechos y medidas reales!";;;;"889633856067956738";https://twitter.com/William30051960/status/889633856067956738
kali0x2a;2017-07-24 19:40;0;0;"oh yeah, banned in the EU for a decade now, let's use it! # MAGA!!!!111 m(";;;#;"889631377645342723";https://twitter.com/kali0x2a/status/889631377645342723
yodacowboy;2017-07-24 19:31;0;0;"@ ABQJournal @ SenatorTomUdall @ MartinHeinrich @ repbenraylujan @ RepLujanGrisham how many in NM are you responsible for. Your policy killshttps://twitter.com/us_army_vet/status/885358914232909826 …";;@ @ @ @ @;;"889629238797762564";https://twitter.com/yodacowboy/status/889629238797762564
yodacowboy;2017-07-24 19:30;0;0;"@ ABQJournal @ MartinHeinrich @ SenatorTomUdall @ repbenraylujan @ RepLujanGrisham you did this,now you sit on your hands @ KOB4 What a wastehttps://twitter.com/foxbusiness/status/889577002314850304 …";;@ @ @ @ @ @;;"889628810769031168";https://twitter.com/yodacowboy/status/889628810769031168
rnance1950;2017-07-24 19:22;0;0;"@ SenatorTomUdall Thks for stopping possibility of slaughterhouses reopening but why do you want horses slaughtered? Don't pass Stewart Amend";;@;;"889626825814626308";https://twitter.com/rnance1950/status/889626825814626308
vobstorm;2017-07-24 18:51;1;0;"I met you and shook your hand at the March for Science in Santa Fe Thank you for your attention to healthcare!";;;;"889619138850639872";https://twitter.com/vobstorm/status/889619138850639872
geraldbryant536;2017-07-24 18:44;1;2;"What about the families that ACA hurt and still hurting when it was implemented and now can't afford insurance You don't tell three stories";;;;"889617204647526402";https://twitter.com/geraldbryant536/status/889617204647526402
IronsideSally;2017-07-24 18:32;0;0;"Please join filibuster-by-amendment and don't to vote for any amendments that will help Republicans pass ACA repeal. thank you!";;;;"889614321524678656";https://twitter.com/IronsideSally/status/889614321524678656
IronsideSally;2017-07-24 18:29;0;0;"@ MartinHeinrich @ SenatorTomUdall thanks for doing all you can to fight Trumpcare Please use every thing at your disposal to stop this bill";;@ @;;"889613489991438336";https://twitter.com/IronsideSally/status/889613489991438336
GRIP2013;2017-07-24 18:23;1;2;"Yes and the drug company's are gouging hard working Americans, been there done that even got the tshirt to prove it. # fixhealthcare";;;#;"889611971833856000";https://twitter.com/GRIP2013/status/889611971833856000
angela_koonce;2017-07-24 18:22;1;1;"Your a good senator Mr. Udall. Fighting for your people. Not all do as you well know. Good luck.";;;;"889611863838928897";https://twitter.com/angela_koonce/status/889611863838928897
CherylRofer;2017-07-24 18:21;1;4;"THANK YOU, @ SenatorTomUdall! From Santa Fe https://twitter.com/SenatorTomUdall/status/889611037925924864 …";;@;;"889611453522726912";https://twitter.com/CherylRofer/status/889611453522726912
SenatorTomUdall;2017-07-24 18:19;86;198;"Repealing # ACA would hurt countless # NM families. I'm joining @ SenateDems & speaking out now to # SaveACA. WATCH:https://www.facebook.com/senschumer/videos/10155667469514407/ …";;@;# # #;"889611037925924864";https://twitter.com/SenatorTomUdall/status/889611037925924864
Amazon__Queen;2017-07-24 18:03;0;1;"Thankfully I have @ SenatorTomUdall & @ MartinHeinrich. Only asshole for me is in Congress- @RepStevePearce who sucks!";;@ @ @RepStevePearce;;"889607035762819072";https://twitter.com/Amazon__Queen/status/889607035762819072
yodacowboy;2017-07-24 17:59;0;0;"@ ABQJournal @ FoxNews @ MartinHeinrich @ SenatorTomUdall your progressive socialist single payer, bureaucratic driven system killed Charlie https://twitter.com/luvmylife____/status/889582418692370434 …";;@ @ @ @;;"889605935072632832";https://twitter.com/yodacowboy/status/889605935072632832
MarikaBlog12;2017-07-24 17:50;0;0;"NO on bills that delist wolves permanently, enjoin judicial review, undercut ESA @ martinheinrich @ SenatorTomUdall pic.twitter.com/QDvP5WoXo1";;@ @;;"889603830203199488";https://twitter.com/MarikaBlog12/status/889603830203199488
OGFirestarter;2017-07-24 17:44;1;0;"Views change and it is very clear that Americans do not want a repeal of # Obamacare PEOPLE WILL DIE # voteno @ SenatorTomUdall @ SenTedCruz";;@ @;# #;"889602309155676168";https://twitter.com/OGFirestarter/status/889602309155676168
flitedocnm;2017-07-24 17:36;1;2;". @ SenatorTomUdall & Sen @ MartinHeinrich, # NM is counting on you to not only vote No!! tomorrow, but talk w every one of your GOP colleagues.pic.twitter.com/73j0v3cARu";;@ @;#;"889600242298961920";https://twitter.com/flitedocnm/status/889600242298961920
2ndAmd_Glenn;2017-07-24 17:30;1;1;"You've been in office since 2009. NM has been ranked 47-51 during that time. Time 2 # DrainTheSwamp # DrainTheSewerhttps://talkpoverty.org/state-year-report/new-mexico-2016-report/ …";;;# #;"889598718562811905";https://twitter.com/2ndAmd_Glenn/status/889598718562811905
MartyIrby;2017-07-24 17:10;0;0;"Grateful for @ SenatorTomUdall & Sen. @ LindseyGrahamSC's work to maintain the ban on # horseslaughter in the US. Must stop @ Robert_Aderholt!https://twitter.com/SenatorTomUdall/status/888068722832879617 …";;@ @ @;#;"889593760711135232";https://twitter.com/MartyIrby/status/889593760711135232
Rich91754;2017-07-24 16:45;0;0;"@ SenatorTomUdall How did you ever escape my BLOCK? Gotcha - Better Deal my Ass.";;@;;"889587431132979200";https://twitter.com/Rich91754/status/889587431132979200
Rich91754;2017-07-24 16:45;1;2;"LOL, you are kidding me after 8 years of national division and unrest - all of a sudden you guys are thinking about jobs and Americans?";;;;"889587248190021632";https://twitter.com/Rich91754/status/889587248190021632
NBlard;2017-07-24 16:39;0;0;"@ SenatorTomUdall Here are 95 true stories on how repealing ACA would devastate families in NM and elsewhere. http://bit.ly/95StoriesAm pic.twitter.com/uzDqCBk6sS";;@;;"889585859187679233";https://twitter.com/NBlard/status/889585859187679233
