username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
CathyJoeGPT;2017-07-24 19:47;0;0;"@ SenatorWicker @ SenThadCochran @ WLOX @ sunheraldhttps://twitter.com/Shareblue/status/889627476829368320 …";;@ @ @ @;;"889633106268913664";https://twitter.com/CathyJoeGPT/status/889633106268913664
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
CathyJoeGPT;2017-07-24 19:43;0;0;"@ SenatorWicker @ SenThadCochran @ WLOX @ sunheraldhttps://twitter.com/soledadobrien/status/889615852722683904 …";;@ @ @ @;;"889632126789980165";https://twitter.com/CathyJoeGPT/status/889632126789980165
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Lainashome;2017-07-24 19:42;0;0;"7:PLEASE RETWEET LIST OF SENATE REPUBS@RepAndyHarrisMD@SenThadCochran@SenatorWicker@RoyBlunt@SteveDaines@SenatorFischer SenSasse";;@RepAndyHarrisMD @SenThadCochran @SenatorWicker @RoyBlunt @SteveDaines @SenatorFischer;;"889631782584422400";https://twitter.com/Lainashome/status/889631782584422400
Suhalper;2017-07-24 19:40;0;0;"@ SenatorWicker Please remember your constituents and vote against Trump's healthcare bill. Thank you. Susan";;@;;"889631492992892928";https://twitter.com/Suhalper/status/889631492992892928
CathyJoeGPT;2017-07-24 19:38;0;0;"@ WLOX @ sunherald @ SenatorWicker @ SenThadCochranhttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @;;"889630961180299265";https://twitter.com/CathyJoeGPT/status/889630961180299265
Rbaron169;2017-07-24 19:18;0;0;"@ SenatorWicker @ SenThadCochran HELP! Local "DEPLORABLE" Voters will NOTE your VOTE! CLEAN REPEAL as PROMISED! 2018 is NEAR! # MAGA! USA!";;@ @;#;"889625870310273025";https://twitter.com/Rbaron169/status/889625870310273025
TeriGRight;2017-07-24 18:53;2;1;". @ SenatorWicker Just do it! # FullRepeal is the promise. # KeepYourPromise! # PJNETpic.twitter.com/Gy249ytaS3";;@;# # #;"889619510327750657";https://twitter.com/TeriGRight/status/889619510327750657
GeneDouglas7;2017-07-24 18:51;0;0;"@ SenateMajLdr @ SenTomCotton @ RandPaul @ SenatorWicker @ SenatorCollins @ SenMikeLee @ SenTedCruz @ SenThadCochran @ SenateGOP @ SenBobCorker REPEAL";;@ @ @ @ @ @ @ @ @ @;;"889619107783618561";https://twitter.com/GeneDouglas7/status/889619107783618561
christycmc;2017-07-24 18:38;0;0;"@ SenatorWicker @ SenThadCochran gentlemen u have the power to stop this crazy man claiming to be president. Act now before it is too late";;@ @;;"889615787975159808";https://twitter.com/christycmc/status/889615787975159808
