username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
alisonbuckley;2017-07-24 19:55;0;0;"@ SteveDaines 2/2 Low-income women could not afford to choose to have their baby w/out # Medicaid May opt for abortion instead. # mtpol";;@;# #;"889635115915259905";https://twitter.com/alisonbuckley/status/889635115915259905
BigSkyFlyer;2017-07-24 19:54;2;2;"I'd also like very much to hear @ SteveDaines weigh in after his self-congratulatory silencing of @ SenWarren in the name of "decency".";;@ @;;"889634859647344640";https://twitter.com/BigSkyFlyer/status/889634859647344640
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
alisonbuckley;2017-07-24 19:53;0;0;"@ SteveDaines 1/2 If you really r "pro-life" u must know that # medicaid pays for almost half of all births in USA for low-income women # mtpol";;@;# #;"889634575378415616";https://twitter.com/alisonbuckley/status/889634575378415616
BenLamb1;2017-07-24 19:49;1;2;"Now, w/ @ SteveDaines trying to eliminate access to healthcare & public land, 2020 is going to be rough on old stevsey. # mtpol # resist";;@;# #;"889633762325168129";https://twitter.com/BenLamb1/status/889633762325168129
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
BenLamb1;2017-07-24 19:48;0;0;"@ SteveDaines kowtows to D.C. lobbyists who control his campaign purse strings. Montanans overwhelmingly oppose disasterous HC track. # mtpol";;@;#;"889633472263966721";https://twitter.com/BenLamb1/status/889633472263966721
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
AceZoomStyle5;2017-07-24 19:43;0;0;"This is bullshit but did that check come from Abramhoff come in yet?";;;;"889632170666598400";https://twitter.com/AceZoomStyle5/status/889632170666598400
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Lainashome;2017-07-24 19:42;0;0;"7:PLEASE RETWEET LIST OF SENATE REPUBS@RepAndyHarrisMD@SenThadCochran@SenatorWicker@RoyBlunt@SteveDaines@SenatorFischer SenSasse";;@RepAndyHarrisMD @SenThadCochran @SenatorWicker @RoyBlunt @SteveDaines @SenatorFischer;;"889631782584422400";https://twitter.com/Lainashome/status/889631782584422400
alisonbuckley;2017-07-24 19:41;0;0;"@ SteveDaines # voteno # ProtectOurCare # mtpolhttps://twitter.com/mattmfm/status/875652896263610372 …";;@;# # #;"889631625750781952";https://twitter.com/alisonbuckley/status/889631625750781952
lynn32187;2017-07-24 19:41;0;0;"@ SteveDaines @ GovernorBullock # mtpolhttps://twitter.com/spunjbaf/status/889615985174601733 …";;@ @;#;"889631576719593472";https://twitter.com/lynn32187/status/889631576719593472
alisonbuckley;2017-07-24 19:39;0;0;"@ SteveDaines # VOTENO # mtpolhttps://twitter.com/mattmfm/status/889605694068011008 …";;@;# #;"889631191464280065";https://twitter.com/alisonbuckley/status/889631191464280065
