username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GniessGirl;2017-07-24 19:56;0;1;"Best compliment! It's been a great chat & exemplifies how the # FutureIsFemale";;;#;"889635435890315264";https://twitter.com/GniessGirl/status/889635435890315264
Indyvoter707;2017-07-24 19:53;0;0;"3.5 million truckers in US are an untapped well of hard working middle income voters listening to xm radio all day, waiting to be spoken to.";;;;"889634555954692096";https://twitter.com/Indyvoter707/status/889634555954692096
lighthouses7;2017-07-24 19:52;1;1;"Never thought of recess appointment for AG # hardball @ maddow @ SenWhitehouse @ SenSchumer @ alfranken @ amyklobuchar @ SenFeinstein @ SenateDems";;@ @ @ @ @ @ @;#;"889634416003346432";https://twitter.com/lighthouses7/status/889634416003346432
SirenOfSanity;2017-07-24 19:52;0;0;"Yep, it's official...the left has gone insane @ SenFranken @ amyklobuchar ! https://twitter.com/Karoli/status/889633592724389889 …";;@ @;;"889634408654938114";https://twitter.com/SirenOfSanity/status/889634408654938114
Indyvoter707;2017-07-24 19:46;0;1;"Make it easier to save more money tax free for retirement. Reach out to the millions of long haul truckers. No one speaks to us or for us.";;;;"889632943710384129";https://twitter.com/Indyvoter707/status/889632943710384129
Indyvoter707;2017-07-24 19:43;0;0;"Reach out to truckers. There are millions of us. We work 70-100 hrs/wk. We need less restrictions on where we can park overnight. Reach out.";;;;"889632069894144003";https://twitter.com/Indyvoter707/status/889632069894144003
JazzLPcollector;2017-07-24 19:41;0;0;"@ SenFeinstein @ PatrickLeahy @ DickDurbin @ SenWhitehouse @ amyklobuchar @ SenFranken @ ChrisCoons @ SenBlumenthalpic.twitter.com/lGr5BkQRh5";;@ @ @ @ @ @ @ @;;"889631636266078208";https://twitter.com/JazzLPcollector/status/889631636266078208
Official_Kuato;2017-07-24 19:34;0;0;"Hey @ SenSchumer, @ SenWarren, @ amyklobuchar and @ alfranken the Dems need marketing / branding help. Seriously. I know people that do this..";;@ @ @ @;;"889629778780856321";https://twitter.com/Official_Kuato/status/889629778780856321
GoinPostal77;2017-07-24 19:30;0;0;"Oooh I know! Single payer doesn't work(example:Canadas healthcare) They're trying to reach out to the middle class-but theyre FAILING # MAGA";;;#;"889628852485595136";https://twitter.com/GoinPostal77/status/889628852485595136
mclarendeb;2017-07-24 19:29;0;0;"Health care & medicine suck. Thanks @ amyklobuchar for your commitment to Minnesotans. https://twitter.com/amyklobuchar/status/889503079451828225 …";;@;;"889628714899841025";https://twitter.com/mclarendeb/status/889628714899841025
BrianOofski;2017-07-24 19:22;0;1;"The more competition, the better. Any other way to help only means we pay twice. Thank you Amy we finally agree on something.";;;;"889626979179401217";https://twitter.com/BrianOofski/status/889626979179401217
BlueStateRedLad;2017-07-24 19:22;1;2;"Pleeeese, Dems don't work. Dems will propose raising taxes on all the folks that do work. Read his Facebook, MEDICAID FOR EVERYBODY!";;;;"889626864242888704";https://twitter.com/BlueStateRedLad/status/889626864242888704
kriskentashian;2017-07-24 19:21;0;0;"@ amyklobuchar @ alfranken do y'all need me to call you and remind you not to vote for this healthcare bill or are you decent fellow humans?";;@ @;;"889626660311584768";https://twitter.com/kriskentashian/status/889626660311584768
GniessGirl;2017-07-24 19:17;0;0;"There's dual purpose on part of MSM-gets a reaction from minority 'pol junkies' & numbs avg ppl by attrition, as part of voter suppression";;;;"889625554206511111";https://twitter.com/GniessGirl/status/889625554206511111
TheLeft_IsRight;2017-07-24 19:16;0;0;"NEWS FLASH! WE'RE 17 YEARS INTO THE 21ST CENTURY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! WAKE UP!!";;;;"889625341723119618";https://twitter.com/TheLeft_IsRight/status/889625341723119618
lisaray937;2017-07-24 19:14;0;0;"What are you going to do about income inequality?";;;;"889624771004174337";https://twitter.com/lisaray937/status/889624771004174337
GoinPostal77;2017-07-24 19:09;1;2;"# abetterdeal for the DNC n cohorts but NOT for the AMERICAN people! Just had 8yrs w/ a dem president and now ya can create 10 mil jobs?!?";;;#;"889623653532528642";https://twitter.com/GoinPostal77/status/889623653532528642
MillerAnnM;2017-07-24 19:08;0;0;"Just contacted @ SenFranken and @ amyklobuchar again to continue fighting the ACA repeal. This is not the time to sit in silence.";;@ @;;"889623343305043969";https://twitter.com/MillerAnnM/status/889623343305043969
tryingtobecivil;2017-07-24 19:06;0;0;"Both Democrats and republicans are doing everything they can to avoid working together on anything. I'm asking my Senator to help.";;;;"889622938730758146";https://twitter.com/tryingtobecivil/status/889622938730758146
kne_kris;2017-07-24 19:02;1;0;"I want my reps @ SenFranken @ amyklobuchar to go on the record supporting full funding for foreign aid. # GlobalCitizen";;@ @;#;"889621877278334977";https://twitter.com/kne_kris/status/889621877278334977
Jamesdemuth3;2017-07-24 18:58;0;0;"What happened to the last 8 years.Are you actively enrolled at a mental health group? 8 years of more welfare,food stamps,ghettos,Muslims";;;;"889620955038982144";https://twitter.com/Jamesdemuth3/status/889620955038982144
ReimanAg;2017-07-24 18:55;0;0;"The only job your interested in is your own.";;;;"889620148210069506";https://twitter.com/ReimanAg/status/889620148210069506
ReimanAg;2017-07-24 18:55;0;0;"Coming from the Illinois cesspool? I'll bet!";;;;"889619966130921472";https://twitter.com/ReimanAg/status/889619966130921472
fredknutz;2017-07-24 18:53;0;0;"Start by advocating A FAMILY WAGE. One wage earner can keep his/her family of four above poverty on a full-time 40 hr./ job.";;;;"889619685372776448";https://twitter.com/fredknutz/status/889619685372776448
namd4kids;2017-07-24 18:51;0;1;"I called my Senators @ amyklobuchar @ SenFranken to ask for help convincing their @ SenateGOP colleagues to # KeepKidsCovered # DoctorsSpeakOuthttps://twitter.com/doclauralawler/status/889615311883952128 …";;@ @ @;# #;"889619120865640449";https://twitter.com/namd4kids/status/889619120865640449
CH88keys;2017-07-24 18:50;0;0;"@ SenFranken @ AmyKlobuchar Hubert Humphrey, Walter Mondale, Paul Wellstone, Eugene McCarthy. When MN goes Farmer-Labor, MN goes high. Thanks";;@ @;;"889618710180147200";https://twitter.com/CH88keys/status/889618710180147200
ambot51;2017-07-24 18:49;0;0;"@ amyklobuchar @ alfranken @ RonJohnsonWI @ SenatorBaldwinhttps://twitter.com/juddlegum/status/889494981345411076 …";;@ @ @ @;;"889618595713626115";https://twitter.com/ambot51/status/889618595713626115
jumprjintally;2017-07-24 18:47;0;0;"How silly. After 8 years of Democratic control, higher taxes, lower wages, solar promises, America said enough is enough. Extra cheese pls";;;;"889618028840792070";https://twitter.com/jumprjintally/status/889618028840792070
penbillvan;2017-07-24 18:45;0;0;"Will The Idiots will Listen NOW? We Told Them That The Republican Agenda Was Going To Destroy Everything Good Accomplished in Their Lifetime";;;;"889617599750864896";https://twitter.com/penbillvan/status/889617599750864896
bbecker317;2017-07-24 18:39;0;0;"Need to see some substance b4 I can get behind it.Specifics. Not just "we're going to increase wages". How r u going to build infrastructure";;;;"889615997921001472";https://twitter.com/bbecker317/status/889615997921001472
MadAlgorithm;2017-07-24 18:38;1;0;"Housing for all. Health care for all. Medicine & social care for all. End slavery in the US once & for all. Unionize the vice industries.";;;;"889615847022616578";https://twitter.com/MadAlgorithm/status/889615847022616578
MadAlgorithm;2017-07-24 18:36;0;0;"Move us towards Universal healthcare. Public option, single payer, medicaid for all. Systemic regulatory oversight & auditing.";;;;"889615252924575744";https://twitter.com/MadAlgorithm/status/889615252924575744
