Alabama;Shelby, Richard;SenShelby		
Alabama;Jomes, Doug;SenDougJones		
Alaska;Murkowski, Lisa;lisamurkowski
Alaska;Sullivan, Dan;SenDanSullivan
Arizona;Kyl, Jon;SenJonKyl
Arizona;Flake, Jeff;JeffFlake
Arkansas;Cotton, Tom;SenTomCotton
Arkansas;Boozman, John;JohnBoozman
California;Feinstein, Dianne;SenFeinstein
California;Harris, Kamala;SenKamalaHarris
Colorado;Bennet, Michael;SenBennetCO
Colorado;Gardner, Cory;SenCoryGardner
Connecticut;Murphy, Christopher;ChrisMurphyCT		
Connecticut;Blumenthal, Richard;SenBlumenthal
Delaware;Carper, Tom;SenatorCarper
Delaware;Coons, Chris;ChrisCoons
Florida;Nelson, Bill;SenBillNelson
Florida;Rubio, Marco;marcorubio
Georgia;Perdue, David;SenDavidPerdue
Georgia;Isakson, Johnny;SenatorIsakson	
Hawaii;Schatz, Brian;brianschatz
Hawaii;Hirono, Mazie;maziehirono
Idaho;Crapo, Mike;MikeCrapo
Idaho;Risch, Jim;SenatorRisch
Illinois;Duckworth, Tammy;SenDuckworth
Illinois;Durbin, Dick;SenatorDurbin
Indiana;Donnelly, Joe;SenDonnelly
Indiana;Young, Todd;SenToddYoung
Iowa;Grassley, Chuck;ChuckGrassley
Iowa;Ernst, Joni	joniernst;SenJoniErnst
Kansas;Roberts, Pat;SenPatRoberts
Kansas;Moran, Jerry;JerryMoran
Kentucky;McConnell, Mitch;SenateMajLdr	
Kentucky;Paul, Rand;RandPaul
Louisiana;Cassidy, Bill;BillCassidy
Louisiana;Kennedy, John;SenJohnKennedy
Maine;King, Angus;SenAngusKing
Maine;Collins, Susan;SenatorCollins
Maryland;Van Hollen, Chris;ChrisVanHollen
Maryland;Cardin, Ben;SenatorCardin
Massachusetts;Markey, Ed;senmarkey
Massachusetts;Warren, Elizabeth;SenWarren
Michigan;Peters, Gary;SenGaryPeters
Michigan;Stabenow, Debbie;SenStabenow
Minnesota;Klobuchar, Amy;amyklobuchar
Minnesota;Smith, Tina;SenTinaSmith
Mississippi;Hyde-Smith, Cindy;SenHydeSmith
Mississippi;Wicker, Roger;SenatorWicker
Missouri;McCaskill, Claire;clairecmc
Missouri;Blunt, Roy;RoyBlunt
Montana;Daines, Steve;SteveDaines
Montana;Tester, Jon;SenatorTester
Nebraska;Fischer, Deb;SenatorFischer
Nebraska;Sasse, Ben;BenSasse
Nevada;Cortez Masto, Catherine;SenCortezMasto
Nevada;Heller, Dean;SenDeanHeller
New Hampshire;Shaheen, Jeanne;SenatorShaheen
New Hampshire;Hassan, Maggie;SenatorHassan
New Jersey;Booker, Cory;CoryBooker
New Jersey;Menendez, Bob;SenatorMenendez
New Mexico;Heinrich, Martin;MartinHeinrich
New Mexico;Udall, Tom;SenatorTomUdall
New York;Schumer, Chuck;SenSchumer
New York;Gillibrand, Kirsten;SenGillibrand
North Carolina;Burr, Richard;SenatorBurr
North Carolina;Tillis, Thom;SenThomTillis
North Dakota;Heitkamp, Heidi;SenatorHeitkamp
North Dakota;Hoeven, John;SenJohnHoeven
Ohio;Brown, Sherrod;SenSherrodBrown
Ohio;Portman, Rob;SenRobPortman
Oklahoma;Inhofe, Jim;jiminhofe
Oklahoma;Lankford, James;SenatorLankford
Oregon;Wyden, Ron;RonWyden
Oregon;Merkley, Jeff;SenJeffMerkley
Pennsylvania;Casey, Bob;SenBobCasey
Pennsylvania;Toomey, Pat;SenToomey
Rhode Island;Reed, Jack;SenJackReed
Rhode Island;Whitehouse, Sheldon;SenWhitehouse
South Carolina;Graham, Lindsey;LindseyGrahamSC
South Carolina;Scott, Tim;SenatorTimScott
South Dakota;Rounds, Mike;SenatorRounds
South Dakota;Thune, John;SenJohnThune
Tennessee;Alexander, Lamar;SenAlexander
Tennessee;Corker, Bob;BobCorker
Texas;Cornyn, John;JohnCornyn
Texas;Cruz, Ted;SenTedCruz
Utah;Hatch, Orrin;SenOrrinHatch
Utah;Lee, Mike;SenMikeLee
Vermont;Leahy, Patrick;SenatorLeahy
Vermont;Sanders, Bernie;SenatorSanders
Virginia;Kaine, Tim;timkaine
Virginia;Warner, Mark;MarkWarner
Washington;Murray, Patty;PattyMurray
Washington;Cantwell, Maria;SenatorCantwell
West Virginia;Capito, Shelley-Moore;SenCapito
West Virginia;Manchin, Joe;Sen_JoeManchin
Wisconsin;Baldwin, Tammy;SenatorBaldwin
Wisconsin;Johnson, Ron;SenRonJohnson
Wyoming;Enzi, Mike;SenatorEnzi
Wyoming;Barrasso, John;SenJohnBarrasso
