KarenErtel;2017-07-21 17:37;1;0;"If Congress can't repeal Obamacare, Democrats and Republicans might agree on fixes. Here are 7 possibilities http://s.cleveland.com/KZyBfnZ";;;;"888513239964934144";https://twitter.com/KarenErtel/status/888513239964934144;0
BeaudoinChuck;2017-07-24 15:31;0;0;"Obama care had in it seniors who are on ss are not allowed to own or buy guns along with vets unconstitutional age discrimination unlawful https://twitter.com/JohnFromCranber/status/889530572451827712 …";;;;"889568651904516101";https://twitter.com/BeaudoinChuck/status/889568651904516101;-1
jobsterofficial;2017-07-24 16:39;2;5;"FoxNews: .RandPaul on Senate health care bill: "I think the death spiral of ObamaCare continues, but they're just … https://twitter.com/FoxNews/status/889585553485836288 …";;;;"889585765998526465";https://twitter.com/jobsterofficial/status/889585765998526465;1
MikeMilisits;2017-07-24 15:41;0;0;"@ realDonaldTrump # Obamacare has been wrecking havoc on the country for 17 years? You may want to check your math. # notfittolead";;@;# #;"889571213865103360";https://twitter.com/MikeMilisits/status/889571213865103360;0
jackiebwatson;2017-07-21 15:03;0;3;"He failed to pass a bill twice, and on gop of that he failed to repeal Obamacare alone as a last resort. The new # winningbigly everyone.";;;#;"888474519542710272";https://twitter.com/jackiebwatson/status/888474519542710272;-1
PettyIdol;2017-07-21 14:27;0;1;"Wait, we're still pushing the Obamacare is failing bit? # PressBriefing";;;#;"888465527609450496";https://twitter.com/PettyIdol/status/888465527609450496;1
scottyonescott;2017-07-24 19:40;0;0;"@ SenThadCochran I've got a great idea Why not Put all you Senators on Obama Care. I bet it will be fixed overnight";;@;;"889631354085924864";https://twitter.com/scottyonescott/status/889631354085924864;-1
iTruck_NEWS;2017-07-19 21:11;0;0;"Pressure Builds On Republicans Opposing Obamacare Repeal http://bit.ly/2trwriC";;;;"887842279234433025";https://twitter.com/iTruck_NEWS/status/887842279234433025;-1
TheScope;2017-07-22 12:51;1;3;"Think Obamacare repeal won’t affect kids? Think again. http://huffp.st/Sjh2M6u pic.twitter.com/x8rbGrewKY";;;;"888803791306444800";https://twitter.com/TheScope/status/888803791306444800;1
johnmknox1;2017-07-20 17:26;0;0;"The @ GOP have lied to the American people for seven years about repealing Obamacare they have no intention of doing so. @ freedomcaucuspic.twitter.com/7NloJZ2W7s";;@ @;;"888148250347401217";https://twitter.com/johnmknox1/status/888148250347401217;1
plpgary;2017-07-24 15:47;0;0;"@ SenateGOP while you enjoy your Obama care exemptions we pay thru the nose and in our taxes pay your too. Will remember this in 2018";;@;;"889572678776094721";https://twitter.com/plpgary/status/889572678776094721;0
