username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
GreenRootsTN;2017-07-24 19:58;0;0;"Well, what's defensible? . @ SenAlexander . @ SenBobCorker . @ tndp . @ TennDem . @ tncitizenaction . @ TNIndivisible https://nyti.ms/2tUr46E";;@ @ @ @ @ @;;"889635952708243459";https://twitter.com/GreenRootsTN/status/889635952708243459
TNCouncilDD;2017-07-24 19:57;0;0;"@ SenBobCorker , @ SenAlexander - Please preserve the ACA and Medicaid, Tennesseans with lifelong, significant disabilities depend on them.pic.twitter.com/SIFM72FHHH";;@ @;;"889635560289185792";https://twitter.com/TNCouncilDD/status/889635560289185792
beerwaterdahter;2017-07-24 19:56;0;1;"We also need to ban all guns If 1 child dies from gun violence, then nothing is worth protecting them";;;;"889635527057690624";https://twitter.com/beerwaterdahter/status/889635527057690624
paxromana5777;2017-07-24 19:56;0;0;"Your constituents are depending on you, @ SenAlexander & @ SenBobCorker. Vote 'no' on # Obamacare repeal. # WeVetsAreWatching!";;@ @;# #;"889635511823937537";https://twitter.com/paxromana5777/status/889635511823937537
Horn_Sannity;2017-07-24 19:52;0;0;"Is this happening? @ SenCapito @ BillCassidy @ SenBobCorker @ SenJohnMcCain @ lisamurkowski @ senrobportman @ SenSasse @ SenDeanHeller @ JeffFlakehttps://twitter.com/senkamalaharris/status/889627267734876160 …";;@ @ @ @ @ @ @ @ @;;"889634307148566534";https://twitter.com/Horn_Sannity/status/889634307148566534
HRCFTW16;2017-07-24 19:51;0;0;". @ senbobcorker @ SenAlexanderhttps://twitter.com/AARPadvocates/status/889609156214362112 …";;@ @;;"889634248369614848";https://twitter.com/HRCFTW16/status/889634248369614848
PiscopoSf;2017-07-24 19:50;0;0;"@ SenBobCorker Listen to your people.Trumpcare puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/x9vtCvKesq";;@;#;"889633994496765954";https://twitter.com/PiscopoSf/status/889633994496765954
WWWilkie;2017-07-24 19:50;0;0;"@ SenAlexander @ SenBobCorker You are voting tomorrow (Tuesday) on repeal of the # ACA. Remember that thing you campaigned on? We're watching!";;@ @;#;"889633981255356422";https://twitter.com/WWWilkie/status/889633981255356422
Horn_Sannity;2017-07-24 19:49;0;0;"Your constituents @ SenCapito @ BillCassidy @ SenBobCorker @ SenJohnMcCain @ lisamurkowski @ senrobportman @ SenSasse @ SenDeanHeller @ JeffFlakehttps://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @ @ @ @ @ @ @ @;;"889633707023355907";https://twitter.com/Horn_Sannity/status/889633707023355907
hopefoulds;2017-07-24 19:49;0;1;"https://www.whitehouse.gov/sites/whitehouse.gov/files/omb/saps1628hr_20170724.pdf … @ SenAlexander @ SenBobCorker";;@ @;;"889633686328627201";https://twitter.com/hopefoulds/status/889633686328627201
pearlgsims1;2017-07-24 19:48;0;0;"@ SenBobCorker @ SenAlexander. Please vote that all families have what you do- tax funded health insurance!pic.twitter.com/HWCI1AYXhF";;@ @;;"889633542493306880";https://twitter.com/pearlgsims1/status/889633542493306880
cnreber;2017-07-24 19:46;2;1;"CONSTITUENTS OR TRUMP? VOTE NO! # SaveACA/Medicaid @ SenDeanHeller @ LisaForSenate @ SenatorCollins @ SenMikeLee @ SenCapito @ SenBobCorker";;@ @ @ @ @ @;#;"889632941411794944";https://twitter.com/cnreber/status/889632941411794944
DeepInTheHills;2017-07-24 19:42;7;8;". @ GOP What if those were *your* children - oh yeah, you exempted yourself from your own healthcare plan. # SHAME # SHAME # SHAME";;@;# # #;"889631979662172160";https://twitter.com/DeepInTheHills/status/889631979662172160
mommicality;2017-07-24 19:41;0;0;"Call @ SenatorCollins @ RandPaul @ CapitoforWV @ SenBobCorker @ SenDeanHeller @ senrobportman @ lisamurkowski @ SenSasse @ BillCassidy 202-224-3121";;@ @ @ @ @ @ @ @ @;;"889631573666091014";https://twitter.com/mommicality/status/889631573666091014
