username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
fredlakek2;2017-07-24 19:59;0;0;". @ SenDanSullivan The Senate Trumpcare bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/c45qRJY8Sf";;@;#;"889636060111802369";https://twitter.com/fredlakek2/status/889636060111802369
ShanahStone;2017-07-24 19:51;2;5;"@ SenDanSullivan Do you listen to your constituents or to bullying and money? # Alaska # PolarPayoff # VoteNoToProceed No Repeal or Replacepic.twitter.com/B7V3G3ecjX";;@;# # #;"889634098280615936";https://twitter.com/ShanahStone/status/889634098280615936
AK_Chick;2017-07-24 19:44;0;0;"Attention @ lisamurkowski @ SenDanSullivan Please read the following from a former GOP senator. Don't be bullied by GOP. https://twitter.com/RufusMoore5/status/889628987013681152 …";;@ @;;"889632391219867654";https://twitter.com/AK_Chick/status/889632391219867654
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Peanutzz;2017-07-24 19:40;0;0;"@ SenCapito # westvirginia @ lisamurkowski # alaska @ SenDeanHeller # nevada @ SenDanSullivan @ JeffFlake # arizona @ SenatorCollins # mainehttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @;# # # # #;"889631477750779906";https://twitter.com/Peanutzz/status/889631477750779906
akmk;2017-07-24 19:36;0;2;"What are Alaska's Senators @ lisamurkowski and @ SenDanSullivan doing for Alaskans and the nation? # nothing # noleadership # failing # bewokeAK";;@ @;# # # #;"889630402020855809";https://twitter.com/akmk/status/889630402020855809
bmastersc;2017-07-24 19:32;0;0;"@ lisamurkowski @ SenDanSullivan Alaska can't afford Trumpcare. Healthcare premiums would increase 142% for same plan as ACA. Vote NO! # NOMTP";;@ @;#;"889629394293141504";https://twitter.com/bmastersc/status/889629394293141504
ShanahStone;2017-07-24 19:30;3;3;". @ sendansullivan, oppose plan by big airlines to take away Congress' oversight of air traffic control system http://bit.ly/2kr5XsW";;@;;"889628835238596609";https://twitter.com/ShanahStone/status/889628835238596609
malgrantak;2017-07-24 19:29;0;0;"Good reason to not proceed with health care bill @ SenDanSullivan @ lisamurkowskihttps://twitter.com/soledadobrien/status/889213715765231622 …";;@ @;;"889628636113973249";https://twitter.com/malgrantak/status/889628636113973249
malgrantak;2017-07-24 19:26;0;0;"Wow Alaskans want more of that bipartisanship @ lisamurkowski @ SenDanSullivan https://twitter.com/akgovbillwalker/status/889619136476827650 …";;@ @;;"889627918724472832";https://twitter.com/malgrantak/status/889627918724472832
