WMS4Yeshua;2017-07-24 19:56;0;0;"What a laugh! @ SenBobCasey actually thinks he's defending the defenseless! Quit the lies & do your job, by voting to # RepealObamacare";;@;#;"889635442999648256";https://twitter.com/WMS4Yeshua/status/889635442999648256
fox5dc;2017-07-24 19:53;38;61;"VIDEO: @ SenBobCasey hands out pizza to protesters against repeal of Obamacare http://www.fox5dc.com/news/politics/269911337-story … # fox5dcpic.twitter.com/5sduMQhMax";;@;#;"889634578163527681";https://twitter.com/fox5dc/status/889634578163527681
RobertE89836175;2017-07-24 19:53;0;0;"@ SenBobCasey if you didn't screw up our healthcare 8 years ago we wouldn't be having this discussion right now,democrats crooked and corrup";;@;;"889634572757086208";https://twitter.com/RobertE89836175/status/889634572757086208
abirish;2017-07-24 19:41;0;3;"Thank u senator 4 fighting 4 us. At least 1 senator in PA care. @ SenToomey";;@;;"889631762648838144";https://twitter.com/abirish/status/889631762648838144
ChangeSeats;2017-07-24 19:39;0;0;"RT @ SenBobCasey: RT @ HMinPA: . @ SenBobCasey talks # Medicaid & # GOP # HealthcareBill while in # McConnellsburg today. http://buff.ly/2uu428P";;@ @ @;# # # #;"889631049139048454";https://twitter.com/ChangeSeats/status/889631049139048454
SenBobCasey;2017-07-24 19:38;295;902;"On the Senate floor to defend the care of the most vulnerable among us. Watch live.https://www.facebook.com/SenatorBobCasey/videos/1401739723212510/ …";;;;"889630923590963200";https://twitter.com/SenBobCasey/status/889630923590963200
huntsvut;2017-07-24 19:33;0;0;"Did @ SenBobCasey have any comment about the Charlie Gard case? Should judges get to decide which ppl get which kind/amt of healthcare?";;@;;"889629695146328066";https://twitter.com/huntsvut/status/889629695146328066
rjput01;2017-07-24 19:15;0;0;"Reminds me of what the democrats did when they jammed thru obamacare you're such a hypocrite";;;;"889625205060100097";https://twitter.com/rjput01/status/889625205060100097
Columcaille;2017-07-24 19:11;0;0;"@ SenToomey @ SenBobCasey GOP healthcare vote tomorrow. Where are the hearings, amendments, markups? Do you even know what you're voting on?";;@ @;;"889624047927087109";https://twitter.com/Columcaille/status/889624047927087109
Meg4MJ;2017-07-24 19:07;1;0;"PA loves @ SenBobCasey! # SaveMedicaid # ProtectOurCare # Healthcare # HealthcareBill # KillTheBill # HandsOffMedicarehttps://twitter.com/KeanNatalie/status/889617942308167680 …";;@;# # # # # #;"889623157782532098";https://twitter.com/Meg4MJ/status/889623157782532098
Imawither;2017-07-24 19:01;0;0;"Senator Casey I hope you know you truly embody a dedicated and caring politician. Thank you for all your efforts to stop Trumpcare.";;;;"889621538097553408";https://twitter.com/Imawither/status/889621538097553408
Robertm63137709;2017-07-24 19:00;0;0;"I'm one of 249 doctors ne of u. s. of 269 nationwide this is how real healthcare not quackery is managed UK healthcare cost impossible";;;;"889621432073932802";https://twitter.com/Robertm63137709/status/889621432073932802
hmc0212;2017-07-24 19:00;0;1;"I called your D.C. Office today to thank you for fighting for our health care but there aren't enough thank you's in the world!!!!";;;;"889621343477665797";https://twitter.com/hmc0212/status/889621343477665797
hmc0212;2017-07-24 18:58;0;0;"There aren't enough thank you's in the world to express my appreciation to you all for fighting for our health care!!!";;;;"889620760746176517";https://twitter.com/hmc0212/status/889620760746176517
gizmocha;2017-07-24 18:56;0;0;"2/3 @ BarackObama @ SenBobCasey @ SenWarren @ BarbraStreisand @ sunny:companies putting profit above patient care by increasing premiums&copays!";;@ @ @ @ @;;"889620226081529856";https://twitter.com/gizmocha/status/889620226081529856
FaireComments;2017-07-24 18:50;1;1;". @ SenBobCasey bringing pizza to a great full group of demonstrators. # Healthcare # ProtectOurCare @ benwikler @ IndivisibleTeam @ NationalADAPTpic.twitter.com/ON2zeyZWrk";;@ @ @ @;# #;"889618739108483072";https://twitter.com/FaireComments/status/889618739108483072
KeanNatalie;2017-07-24 18:47;49;110;"@ SenBobCasey Thank you for fighting for our care! # SaveMedicaid # KillTheBill @ NationalADAPTpic.twitter.com/B9UyNMWKdR";;@ @;# #;"889617942308167680";https://twitter.com/KeanNatalie/status/889617942308167680
gregyost7777;2017-07-24 18:42;0;3;"Casey has been lying about healthcare since repeal and replace surfaced";;;;"889616797305118721";https://twitter.com/gregyost7777/status/889616797305118721
Bobaloue1950;2017-07-24 18:12;0;0;"@ SenToomey @ SenBobCasey I would like both of you to vote yes to bring health care to the floor for debate";;@ @;;"889609156805754882";https://twitter.com/Bobaloue1950/status/889609156805754882
CultPerfectMoms;2017-07-24 18:10;1;2;"Now THAT is awesome. Thank you @ SenBobCasey and THANK YOU @ NationalADAPT!!! # ADAPTandRESIST # deathcarehttps://twitter.com/nationaladapt/status/889540052363218945 …";;@ @;# #;"889608693079134208";https://twitter.com/CultPerfectMoms/status/889608693079134208
Roberttimestwo;2017-07-24 18:08;1;1;"@ SenToomey @ SenBobCasey @ SenateGOP the so called Ocare nightmare affects <.5MM the fix? take away from 30MM this is a BS excuse for tax cut";;@ @ @;;"889608200571555841";https://twitter.com/Roberttimestwo/status/889608200571555841
ProgressivePgh;2017-07-24 17:59;1;0;". @ SenBobCasey @ SenToomey please vote against motion to proceed with ACA repeal, and work for # SinglePayer # MedicareForAll instead.";;@ @;# #;"889605962633535488";https://twitter.com/ProgressivePgh/status/889605962633535488
stormcarver;2017-07-24 17:58;1;1;"What this truly means is that these people WILL NOT and CANNOT pay these premiums. They will be forced to go without # healthcare. # SaveACA";;;# #;"889605708202688512";https://twitter.com/stormcarver/status/889605708202688512
