Tracymancini1;2017-07-24 19:59;0;0;"My family is being bankrupted by ACA. Premiums more than housing, 6k deductibles, no access to care. Why is that ok? Why not fight for us?";;;;"889636254362611713";https://twitter.com/Tracymancini1/status/889636254362611713
maria_n_t;2017-07-24 19:59;0;0;". @ SenDeanHeller, your constituents want bipartisan solutions. Reject this sabotage of our health care–vote 'no' on # Obamacare repeal.";;@;#;"889636198221742081";https://twitter.com/maria_n_t/status/889636198221742081
tinadsm;2017-07-24 19:59;0;0;"And he has great health care! Please don't vote to take away healthcare for millions of Americans who need it! Vote no!";;;;"889636071016890368";https://twitter.com/tinadsm/status/889636071016890368
LopezN19l36;2017-07-24 19:58;0;0;". @ SenDeanHeller: 87,300 Nevadans on Medicaid are at risk of losing care. Do not # RepealObamacare! https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2568395.cV7QOa?source=uvtwitter … via @ UltraViolet";;@ @;#;"889636032576139264";https://twitter.com/LopezN19l36/status/889636032576139264
ErikJKirkstein;2017-07-24 19:58;0;0;"# Trumpcare is a step backwards. Vote NO Tues & work w/ Dems 2 make ACA even better. # ProtectOurCare @ SenCapito @ SenDeanHeller @ lisamurkowskihttps://twitter.com/sarahkliff/status/889571648466276352 …";;@ @ @;# #;"889635991715287040";https://twitter.com/ErikJKirkstein/status/889635991715287040
charbrose;2017-07-24 19:58;0;0;". @ SenDeanHeller we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in NV!https://cards.twitter.com/cards/18ce54ddo5i/4k5y9 …";;@;#;"889635966150955008";https://twitter.com/charbrose/status/889635966150955008
cmpnwtr;2017-07-24 19:57;0;0;"Can U be bought this easily with phony optics to leave millions w/o healthcare? @ lisamurkowski @ SenRobPortman @ SenDeanHeller @ SenCoryGardnerhttps://twitter.com/Taniel/status/889634429240573953 …";;@ @ @ @;;"889635719882317824";https://twitter.com/cmpnwtr/status/889635719882317824
GinaLuciana;2017-07-24 19:57;0;0;"Yes. You do that BEFORE you pass a bill. Obamacare had *106* bipartisan congressional hearings BEFOREHAND. @ SenDeanHeller";;@;;"889635663020257282";https://twitter.com/GinaLuciana/status/889635663020257282
ReneeThreatte;2017-07-24 19:55;0;1;"Your constituents are depending on you, @ SenDeanHeller. Vote 'no' on # Obamacare repeal. # Healthcare";;@;# #;"889635159439548417";https://twitter.com/ReneeThreatte/status/889635159439548417
DaveMax21;2017-07-24 19:55;0;0;". @ SenDeanHeller we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in NV!https://cards.twitter.com/cards/18ce54ddo5i/4k5y9 …";;@;#;"889635149868093440";https://twitter.com/DaveMax21/status/889635149868093440
DavidAc83506435;2017-07-24 19:54;0;0;"@ SenDeanHeller Why do the Nevadans have to suffer just so that "The President" can save face on his flawed healthcare effort. Vote No!";;@;;"889635051234787331";https://twitter.com/DavidAc83506435/status/889635051234787331
runningmaniac4u;2017-07-24 19:54;0;0;"@ SenDeanHeller u mean vote YES for no healthcare for millions of poor Americans? # RepealObamacarehttps://twitter.com/protectcare/status/888445340172648448 …";;@;#;"889635021203668992";https://twitter.com/runningmaniac4u/status/889635021203668992
Di_McI;2017-07-24 19:53;0;1;". @ SenDeanHeller The Senate Trumpcare bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/PbFj3UNGcJ";;@;#;"889634655481339907";https://twitter.com/Di_McI/status/889634655481339907
calibeep;2017-07-24 19:53;0;0;"@ lisamurkowski @ SenatorCollins @ SenCapito @ SenDeanHeller @ senrobportman # Healthcare # medicaid # ACA # Trumpcare # HealthcareBill # alaskahttps://twitter.com/aarpadvocates/status/889610157323427841 …";;@ @ @ @ @;# # # # # #;"889634636707622913";https://twitter.com/calibeep/status/889634636707622913
Lepidolite19;2017-07-24 19:53;0;0;". @ SenDeanHeller I joined AARP to be a part of their fight for people's health care. # VoteNoMTP to # SaveOurCarehttps://twitter.com/AARPadvocates/status/889609156214362112 …";;@;# #;"889634586879287296";https://twitter.com/Lepidolite19/status/889634586879287296
channiallyn;2017-07-24 19:50;0;0;"Your constituents are depending on you, @ SenDeanHeller. Vote 'no' on # Obamacare repeal.";;@;#;"889633924191858692";https://twitter.com/channiallyn/status/889633924191858692
