username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
diamondpoopsie7;2017-07-24 19:57;1;2;"@ ourdreamtoo @ chuckschumer @ MarkWarner @ LindseyGrahamSC @ SenJohnMcCain @ DJTsavesAmerica Thanks for Outing the Traitors!";;@ @ @ @ @ @;;"889635571441815552";https://twitter.com/diamondpoopsie7/status/889635571441815552
beerwaterdahter;2017-07-24 19:56;0;1;"We also need to ban all guns If 1 child dies from gun violence, then nothing is worth protecting them";;;;"889635527057690624";https://twitter.com/beerwaterdahter/status/889635527057690624
valerie2588;2017-07-24 19:56;0;0;"@ SenJohnMcCain @ LindseyGrahamSC YOU CANNOT VOTE FOR THAT HORRIBLE WEALTHPLAN - you are better than that";;@ @;;"889635388226228225";https://twitter.com/valerie2588/status/889635388226228225
rr7lv;2017-07-24 19:55;0;1;"NO NO NO IT IS NOT @ SpeakerRyan @ LindseyGrahamSC @ SenateMajLdr SHUT HIM DOWN @ realDonaldTrump MUST GO AND @ MIKE_PENCE THEN YA'LL # GlenJeanpic.twitter.com/khwpbpPaMX";;@ @ @ @ @;#;"889635140804247554";https://twitter.com/rr7lv/status/889635140804247554
SmokeyNN;2017-07-24 19:54;0;0;"@ LindseyGrahamSC Will YOU encourage this? https://www.twitter.com/burgessev/status/889583993120837633 …";;@;;"889634951095869446";https://twitter.com/SmokeyNN/status/889634951095869446
TonyGreyGoose;2017-07-24 19:53;0;1;"I agree. I differentiate between trumpons and republicans or conservatives";;;;"889634796506427392";https://twitter.com/TonyGreyGoose/status/889634796506427392
toocanplay;2017-07-24 19:52;1;1;"Hitler indoctrination. NOT IN AMERICA TURTLE MAN @ SenateMajLdr @ LindseyGrahamSC (why did I meet with @ jaredkushner) @ boyscouts DON'T BUY it";;@ @ @ @;;"889634429584453635";https://twitter.com/toocanplay/status/889634429584453635
mgeinsc;2017-07-24 19:52;7;4;"@ LindseyGrahamSC @ SenatorTimScott This means YOU!https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889634401063243776";https://twitter.com/mgeinsc/status/889634401063243776
Chris25West;2017-07-24 19:52;0;0;"# ShePersisted through God's representative how @tht @ SenateGOP @ HouseGOP @ SenateMajLdr @ boblatta @ robportman @ GOPLeader @ LindseyGrahamSC https://twitter.com/RealMuckmaker/status/889622034698907650 …";;@tht @ @ @ @ @ @ @;#;"889634375457017858";https://twitter.com/Chris25West/status/889634375457017858
mami38_vargas;2017-07-24 19:52;2;2;"Thank you @ AARPadvocates - I hope @ lisamurkowski @ SenJohnMcCain @ LindseyGrahamSC vote NO on this horrendous bill that will kill people";;@ @ @ @;;"889634369144573953";https://twitter.com/mami38_vargas/status/889634369144573953
PatTheTerrible;2017-07-24 19:52;0;0;"Measure of McConnell's contempt for you. He thinks you're dumb enough to vote yes on a pig in a poke. VOTE NO. # altgov # resist";;;# #;"889634349720719360";https://twitter.com/PatTheTerrible/status/889634349720719360
PrissyFoxie14;2017-07-24 19:52;0;0;"Please vote NO! Fix ACA. PLEASE. VOTE NO";;;;"889634308826308617";https://twitter.com/PrissyFoxie14/status/889634308826308617
tinap2012;2017-07-24 19:51;0;0;"@ LindseyGrahamSC Either you sign up for the Republican plan, forfeit your exemption, or do the decent thing and fix Obamacare. Negotiate.";;@;;"889634126218833928";https://twitter.com/tinap2012/status/889634126218833928
sewpam2;2017-07-24 19:50;0;0;"Vote Yes. People are suffering @ LindseyGrahamSC https://twitter.com/Protectcare/status/888466597094019074 …";;@;;"889633889089703936";https://twitter.com/sewpam2/status/889633889089703936
jet_thomson;2017-07-24 19:49;1;1;"@ LindseyGrahamSC pic.twitter.com/1swJuIw6Dp";;@;;"889633562441523201";https://twitter.com/jet_thomson/status/889633562441523201
NameRedacted68;2017-07-24 19:48;1;3;"Everyone...RT this!";;;;"889633484150644737";https://twitter.com/NameRedacted68/status/889633484150644737
TreyWard3;2017-07-24 19:48;0;0;"Vote no @ LindseyGrahamSc https://twitter.com/AARPadvocates/status/889609156214362112 …";;@;;"889633314335797248";https://twitter.com/TreyWard3/status/889633314335797248
drewptrsn;2017-07-24 19:47;0;0;"@ SpeakerRyan @ SenJohnMcCain @ LindseyGrahamSC @ BillKristol @ SenateMajLdr @ davidfrum Elected Republican Leaders-- Stand up!https://twitter.com/matthewamiller/status/889626260573491200 …";;@ @ @ @ @ @;;"889633209096515585";https://twitter.com/drewptrsn/status/889633209096515585
laurcoo;2017-07-24 19:45;0;0;"My 3rd recurrence makes me think about not having healthcare. Surely it's the same for you.";;;;"889632747907633154";https://twitter.com/laurcoo/status/889632747907633154
december120964;2017-07-24 19:45;0;1;"@ LindseyGrahamSC Tell your colleagues to let John McCain rest !!! Back off";;@;;"889632567896547329";https://twitter.com/december120964/status/889632567896547329
jet_thomson;2017-07-24 19:44;1;1;"@ LindseyGrahamSC pic.twitter.com/RnKd8ncsem";;@;;"889632468189540353";https://twitter.com/jet_thomson/status/889632468189540353
