username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hmc0212;2017-07-24 19:59;0;2;"Thank you @ SenBobCasey pre-existing condition protection, kids to 26 & no annual or lifetime limits is not negotiable for my T1D daughter.";;@;;"889636136112582656";https://twitter.com/hmc0212/status/889636136112582656
yam24e;2017-07-24 19:57;0;1;"@ SenBobCasey Bravo. Watched you on the floor. Thank you for caring & defending your fellow PA citizens. # ProtectOurCare # nastywomenproject";;@;# #;"889635721904099328";https://twitter.com/yam24e/status/889635721904099328
Daammmnscoe;2017-07-24 19:57;0;0;"@ SenBobCasey Really classy,Senator!";;@;;"889635659811614720";https://twitter.com/Daammmnscoe/status/889635659811614720
theehmann;2017-07-24 19:56;0;0;"Carry the fight for us!";;;;"889635513329758208";https://twitter.com/theehmann/status/889635513329758208
WMS4Yeshua;2017-07-24 19:56;0;0;"What a laugh! @ SenBobCasey actually thinks he's defending the defenseless! Quit the lies & do your job, by voting to # RepealObamacare";;@;#;"889635442999648256";https://twitter.com/WMS4Yeshua/status/889635442999648256
dwGehrsitz;2017-07-24 19:53;0;2;"Thank you Senator Casey!!";;;;"889634782421942277";https://twitter.com/dwGehrsitz/status/889634782421942277
fox5dc;2017-07-24 19:53;38;61;"VIDEO: @ SenBobCasey hands out pizza to protesters against repeal of Obamacare http://www.fox5dc.com/news/politics/269911337-story … # fox5dcpic.twitter.com/5sduMQhMax";;@;#;"889634578163527681";https://twitter.com/fox5dc/status/889634578163527681
RobertE89836175;2017-07-24 19:53;0;0;"@ SenBobCasey if you didn't screw up our healthcare 8 years ago we wouldn't be having this discussion right now,democrats crooked and corrup";;@;;"889634572757086208";https://twitter.com/RobertE89836175/status/889634572757086208
DebraHange1;2017-07-24 19:52;0;1;"THANK YOU";;;;"889634427080495104";https://twitter.com/DebraHange1/status/889634427080495104
emosier;2017-07-24 19:52;0;9;"Thank you, Senator Casey!";;;;"889634413197352961";https://twitter.com/emosier/status/889634413197352961
PuffinEllis;2017-07-24 19:51;0;5;"Thank you for fighting for us!";;;;"889634247899787264";https://twitter.com/PuffinEllis/status/889634247899787264
DebraHange1;2017-07-24 19:51;0;6;"Thank you and God bless you";;;;"889634123098337283";https://twitter.com/DebraHange1/status/889634123098337283
Robertm63137709;2017-07-24 19:51;0;0;"An afterthought veterans checks for anyone claiming affiliation social security checks for those who didn't earn them systematically a drag";;;;"889634055465119746";https://twitter.com/Robertm63137709/status/889634055465119746
DebraHange1;2017-07-24 19:50;0;0;"Bull";;;;"889633998707859460";https://twitter.com/DebraHange1/status/889633998707859460
Yarraslava;2017-07-24 19:48;4;2;". @ SenToomey @ SenBobCasey Why do U allow the # Amish 2 commercially breed & auction puppies? Shut down # PuppyMillspic.twitter.com/owA4RLsoGm";;@ @;# #;"889633532217364481";https://twitter.com/Yarraslava/status/889633532217364481
thelauers918;2017-07-24 19:48;0;1;"A true American, @ SenBobCasey ! He recognizes the truth and supports those who fight against evil. God Blss Bob Casey!";;@;;"889633471718621185";https://twitter.com/thelauers918/status/889633471718621185
KayLowmaster;2017-07-24 19:48;0;0;"THANK YOU - keep up the good fight. We need you.";;;;"889633364017381376";https://twitter.com/KayLowmaster/status/889633364017381376
janetweisFREE;2017-07-24 19:47;0;1;"Great job!!!!";;;;"889633191514054656";https://twitter.com/janetweisFREE/status/889633191514054656
cccannon123;2017-07-24 19:47;0;0;"Very nice";;;;"889633164355919873";https://twitter.com/cccannon123/status/889633164355919873
Yarraslava;2017-07-24 19:46;0;0;". @ SenToomey @ SenBobCasey Pennsylvania! Please shut down these # PuppyMills!pic.twitter.com/Kx4kA83KYS";;@ @;#;"889632963255832582";https://twitter.com/Yarraslava/status/889632963255832582
Delvis343;2017-07-24 19:46;0;1;"@ SenBobCasey Thanks for fighting to # KillTheBill. Oh. And delivering pizza... too cool! # ProudPennsylvanian";;@;# #;"889632960202387461";https://twitter.com/Delvis343/status/889632960202387461
Yarraslava;2017-07-24 19:46;0;0;". @ SenToomey @ SenBobCasey Pennsylvania! Please shut down these # PuppyMills!pic.twitter.com/Y5Vo9ntpke";;@ @;#;"889632924420780032";https://twitter.com/Yarraslava/status/889632924420780032
Laughngypsy;2017-07-24 19:45;0;1;"Awesome thanks";;;;"889632712541298693";https://twitter.com/Laughngypsy/status/889632712541298693
abirish;2017-07-24 19:45;0;0;"That's so nice of him!";;;;"889632702617538564";https://twitter.com/abirish/status/889632702617538564
RWishNJ;2017-07-24 19:45;0;0;"Identity politics do nothing but pit us against each other for the wrong reasons like race and religion instead of policy";;;;"889632667595145217";https://twitter.com/RWishNJ/status/889632667595145217
Jackarool;2017-07-24 19:44;0;0;"That was the most homosexual tweet I've seen in awhile...if that's what you are into though it's alright.To each his own";;;;"889632312656355330";https://twitter.com/Jackarool/status/889632312656355330
DebraHange1;2017-07-24 19:43;0;0;"That's not true";;;;"889632122184531968";https://twitter.com/DebraHange1/status/889632122184531968
deannefaye;2017-07-24 19:43;0;0;"@ SenToomey @ SenBobCasey https://twitter.com/jonfavs/status/889631272255074305 …";;@ @;;"889632107047374848";https://twitter.com/deannefaye/status/889632107047374848
AmyDoghouse;2017-07-24 19:42;0;0;"@ SenToomey you went in on the pizza with Bob, right? Thanks, @ SenBobCasey. https://twitter.com/RonicaCleary/status/889619001952829441 …";;@ @;;"889632019281563650";https://twitter.com/AmyDoghouse/status/889632019281563650
armyheromom;2017-07-24 19:42;0;4;"Thank you";;;;"889632005809459200";https://twitter.com/armyheromom/status/889632005809459200
bluewavepenn;2017-07-24 19:42;1;4;"Thank you, Senator. We need you.";;;;"889631951031853056";https://twitter.com/bluewavepenn/status/889631951031853056
girlnthetardis;2017-07-24 19:42;1;13;"Thanks for standing up for your constituents! Wish all our reps had your courage";;;;"889631943758938112";https://twitter.com/girlnthetardis/status/889631943758938112
LPonch;2017-07-24 19:42;0;3;"Thank you, sir.";;;;"889631892705857537";https://twitter.com/LPonch/status/889631892705857537
jesmichaels1;2017-07-24 19:42;1;1;". @ SenToomey @ SenBobCasey Pennsylvania! Please shut down these # PuppyMills!pic.twitter.com/H6qOMC5dDD";;@ @;#;"889631885286154240";https://twitter.com/jesmichaels1/status/889631885286154240
KelseyRodkey;2017-07-24 19:42;0;3;"Thank you, Senator Casey!";;;;"889631872187281410";https://twitter.com/KelseyRodkey/status/889631872187281410
NickKramarev;2017-07-24 19:42;0;0;"They better eat fast. Toomey probably already called the Capitol police.";;;;"889631871457427456";https://twitter.com/NickKramarev/status/889631871457427456
jesmichaels1;2017-07-24 19:42;0;0;". @ SenToomey @ SenBobCasey Pennsylvania! Please shut down these # PuppyMills!pic.twitter.com/QJlwMhyVF4";;@ @;#;"889631862867546113";https://twitter.com/jesmichaels1/status/889631862867546113
MyrnaMinx74;2017-07-24 19:42;0;0;"Love my @ SenBobCasey https://twitter.com/TuesdaysToomey/status/889630812026613761 …";;@;;"889631827106951172";https://twitter.com/MyrnaMinx74/status/889631827106951172
ChangeSeats;2017-07-24 19:42;0;0;"RT @ SenBobCasey: RT @ HMinPA: . @ SenBobCasey greeted Mary Hanks & Betty Yeager today as he toured Fulton County Medi… http://buff.ly/2utX7w7";;@ @ @;;"889631785692299264";https://twitter.com/ChangeSeats/status/889631785692299264
abirish;2017-07-24 19:41;0;3;"Thank u senator 4 fighting 4 us. At least 1 senator in PA care. @ SenToomey";;@;;"889631762648838144";https://twitter.com/abirish/status/889631762648838144
Jackarool;2017-07-24 19:41;0;0;"Poppy fields are in Afghanistan, our soldiers are guarding them.sorry but a border wall will do nothing";;;;"889631734752579585";https://twitter.com/Jackarool/status/889631734752579585
eliz_avery;2017-07-24 19:41;0;3;"Thank you Senator!";;;;"889631585397616640";https://twitter.com/eliz_avery/status/889631585397616640
tammyguess59;2017-07-24 19:41;0;0;". @ SenToomey @ SenBobCasey Pennsylvania! Please shut down these # PuppyMills!pic.twitter.com/Ti53gOqeOE";;@ @;#;"889631543869812736";https://twitter.com/tammyguess59/status/889631543869812736
JennMgg;2017-07-24 19:40;1;10;"Thank u for caring what your voters want! If only @ SenToomey had the same conscience";;@;;"889631526056579073";https://twitter.com/JennMgg/status/889631526056579073
GableRockie;2017-07-24 19:40;0;0;"@ SenToomey @ RepScottPerry @ SenateMajLdr @ SpeakerRyan @ SenSchumer @NancyPelosi @ SenBobCasey @ SenFranken @ Lawrence @ PatriotNews # Impeach45https://twitter.com/confident_wrech/status/889516456022614019 …";;@ @ @ @ @ @NancyPelosi @ @ @ @;#;"889631414764883968";https://twitter.com/GableRockie/status/889631414764883968
jbu1252;2017-07-24 19:40;0;0;"Witness Charlie Gard.";;;;"889631398239326208";https://twitter.com/jbu1252/status/889631398239326208
