username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wemo_man;2017-07-24 19:59;0;0;"Repeal Obamacare! Stand up for the producing, working class. Not the Moocher class Antifas";;;;"889636270556708864";https://twitter.com/wemo_man/status/889636270556708864
cathyrodgersart;2017-07-24 19:55;0;8;"There's no excuse for you to vote for this healthcare reform bill, except party-line politics. Horrified that you are my representative.";;;;"889635058054836226";https://twitter.com/cathyrodgersart/status/889635058054836226
JustinTweets4;2017-07-24 19:54;0;1;"Oh, yes. This, and not deciding to be complicit in small t treason, is the GOP's defining moment.";;;;"889634999238086657";https://twitter.com/JustinTweets4/status/889634999238086657
PiscopoSf;2017-07-24 19:51;0;1;". @ SenShelby Listen to your people. Trumpcare puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/x9vtCvKesq";;@;#;"889634255030059009";https://twitter.com/PiscopoSf/status/889634255030059009
allieart;2017-07-24 19:50;0;1;"@ SenShelby @ SenatorStrangehttps://twitter.com/Nataliew1020/status/889470753963474945 …";;@ @;;"889634045562429441";https://twitter.com/allieart/status/889634045562429441
Suhalper;2017-07-24 19:49;0;0;"@ SenShelby Please vote against the travesty of healthcare that Trump and McConnell are ramming through. Thank you. susan";;@;;"889633551750189057";https://twitter.com/Suhalper/status/889633551750189057
uhavenoscruples;2017-07-24 19:46;0;1;"Insurance companies are losing money they actually having to pay out and not just take in loads of cash";;;;"889632862726705152";https://twitter.com/uhavenoscruples/status/889632862726705152
uhavenoscruples;2017-07-24 19:44;0;1;"It was healthcare for people who couldn't get it for people with pre-existing conditions";;;;"889632491107225600";https://twitter.com/uhavenoscruples/status/889632491107225600
uhavenoscruples;2017-07-24 19:44;0;1;"I know you're from Alabama but are you really that damn dumb it was not a healthcare experiment";;;;"889632345212497920";https://twitter.com/uhavenoscruples/status/889632345212497920
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Peanutzz;2017-07-24 19:40;0;0;"@ BillCassidy # louisiana @ SenBobCorker # tennessee @ senrobportman # ohio @ SenCoryGardner # colorado @ SenShelby # alabama @ SenatorStrangehttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @;# # # # #;"889631402916012037";https://twitter.com/Peanutzz/status/889631402916012037
sbstory33;2017-07-24 19:38;3;1;". @ SenShelby Just a friendly reminder, you work for the American people, not Trump. # voteNO # ResistTrumpcarepic.twitter.com/4BdOHCHXWg";;@;# #;"889631022412857344";https://twitter.com/sbstory33/status/889631022412857344
Jon_Lewis;2017-07-24 19:38;0;1;"It's all about winning and losing, not what's right for the people, but then again, Trump promised we'd win again.";;;;"889630814656507904";https://twitter.com/Jon_Lewis/status/889630814656507904
Jon_Lewis;2017-07-24 19:37;0;0;"Basically stated that tweaks could be made to ACA to improve it, but Administration is actually undermining it to cause it to fail";;;;"889630638608969730";https://twitter.com/Jon_Lewis/status/889630638608969730
IndivisibleAl4;2017-07-24 19:36;0;3;"Bot";;;;"889630301428871173";https://twitter.com/IndivisibleAl4/status/889630301428871173
IndivisibleAl4;2017-07-24 19:35;0;2;"Bot";;;;"889630152484958210";https://twitter.com/IndivisibleAl4/status/889630152484958210
Jon_Lewis;2017-07-24 19:34;0;0;"I highly doubt he can";;;;"889629974684205057";https://twitter.com/Jon_Lewis/status/889629974684205057
Mishal62;2017-07-24 19:34;0;1;"I meant to say 'sold is soul'...oops!";;;;"889629824343584768";https://twitter.com/Mishal62/status/889629824343584768
Jon_Lewis;2017-07-24 19:34;0;1;"They aren't capable";;;;"889629772053172225";https://twitter.com/Jon_Lewis/status/889629772053172225
Jon_Lewis;2017-07-24 19:33;0;1;"No, it's much better to have greedy insurance companies controlling health care";;;;"889629580486737922";https://twitter.com/Jon_Lewis/status/889629580486737922
IndivisibleAl4;2017-07-24 19:33;1;7;"Do you know what is in this bill? Better yet, do you even know what bill you are going to be voting on? We know you haven't read it";;;;"889629575269031941";https://twitter.com/IndivisibleAl4/status/889629575269031941
Jon_Lewis;2017-07-24 19:32;0;1;"And Alabama would be one of those idiotic states";;;;"889629392221220864";https://twitter.com/Jon_Lewis/status/889629392221220864
IndivisibleAl4;2017-07-24 19:31;1;6;"Defining that you care nothing about thousands of Alabamans who will lose health care coverage. Defining that you are corrupt and senile";;;;"889629241008062465";https://twitter.com/IndivisibleAl4/status/889629241008062465
Jon_Lewis;2017-07-24 19:31;0;1;"That was on NPR today from a guy in the insurance business";;;;"889629232963387392";https://twitter.com/Jon_Lewis/status/889629232963387392
EversonCHB;2017-07-24 19:30;0;3;"Go back to sleep";;;;"889628867559870464";https://twitter.com/EversonCHB/status/889628867559870464
Mishal62;2017-07-24 19:28;2;1;"Amen! He sold whatever he may have had to Trump! He's lost his dignity while we are losing our healthcare!";;;;"889628285155627009";https://twitter.com/Mishal62/status/889628285155627009
Lmcclend;2017-07-24 19:27;0;2;"GOP budget cuts of insurance subsidies is the cause of instability of the ACA. Since they can't repeal, it's time to cut funding. Dirty!!!";;;;"889628229472059394";https://twitter.com/Lmcclend/status/889628229472059394
Lmcclend;2017-07-24 19:24;0;1;"You've been listening to negative propaganda instead of the positive things ACA accomplished.";;;;"889627494671933441";https://twitter.com/Lmcclend/status/889627494671933441
Claude__Cat;2017-07-24 19:20;4;7;"This is exactly the typeof partisan politics for which you should be VOTED OUT of office.Americans/Alabamians are sick of divisive discourse";;;;"889626412377944066";https://twitter.com/Claude__Cat/status/889626412377944066
norristhekat;2017-07-24 19:18;0;0;"@ realDonaldTrump @ RepMarthaRoby @ SenatorStrange @ SenShelby pic.twitter.com/cmutmzjfSI";;@ @ @ @;;"889625838462873601";https://twitter.com/norristhekat/status/889625838462873601
norristhekat;2017-07-24 19:16;0;0;"@ realDonaldTrump @ SenatorStrange @ RepMarthaRoby @ SenShelby pic.twitter.com/YWJF8O5IAE";;@ @ @ @;;"889625372819697664";https://twitter.com/norristhekat/status/889625372819697664
geokem7;2017-07-24 19:10;0;0;"@ SenShelby @ lutherstrange Do either of you or are you so hateful of your fellow citizens?https://twitter.com/johnpavlovitz/status/889622843394338819 …";;@ @;;"889623921976365062";https://twitter.com/geokem7/status/889623921976365062
sauchuk_c;2017-07-24 19:08;5;20;"If it's such a great plan, why can't we see it? Vote NO on repeal and replace!";;;;"889623452428226562";https://twitter.com/sauchuk_c/status/889623452428226562
scott_hays;2017-07-24 19:08;0;1;"Bros, God wouldn't even vote yes, @ SenShelby, @ SenatorStrange. https://twitter.com/topherspiro/status/889487372152385537 …";;@ @;;"889623430873698304";https://twitter.com/scott_hays/status/889623430873698304
Lainashome;2017-07-24 19:05;0;0;"PLEASE RETWEET! Here's some handy Repub Senate addresses:@SenShelby@senjohnmccain@jeffflake@JohnBoozman@SenTomCotton@sencorygardner";;@SenShelby @senjohnmccain @jeffflake @JohnBoozman @SenTomCotton @sencorygardner;;"889622661029953536";https://twitter.com/Lainashome/status/889622661029953536
RackRiley;2017-07-24 19:02;0;2;"Pls..full repeal and No replace! The markets will do it.. don't want government in healthcare! NO BAIL OUTS!!";;;;"889621768532611073";https://twitter.com/RackRiley/status/889621768532611073
AlabamaBlueGir1;2017-07-24 19:00;0;1;"The UN?";;;;"889621339262287876";https://twitter.com/AlabamaBlueGir1/status/889621339262287876
wife2ofhenry8;2017-07-24 19:00;0;0;"@ SenatorStrange @ SenShelby @ SenAlexander @ SenBobCorker @ SenateGOPhttps://twitter.com/JesseLehrich/status/889539561759678466 …";;@ @ @ @ @;;"889621223419850752";https://twitter.com/wife2ofhenry8/status/889621223419850752
LloydBryant16;2017-07-24 18:57;2;14;"When are you going to have a town hall and actually meet with your constituents? # ACA # UniversalHealthCare";;;# #;"889620468302569474";https://twitter.com/LloydBryant16/status/889620468302569474
jumprjintally;2017-07-24 18:56;0;0;"Do it. America is counting on you.";;;;"889620418600079360";https://twitter.com/jumprjintally/status/889620418600079360
LloydBryant16;2017-07-24 18:55;1;12;"Fix the parts that are broken. Alabama relies on # ACA and many residents have Medicaid. # WorkForYourConstitients";;;# #;"889620162810400770";https://twitter.com/LloydBryant16/status/889620162810400770
phdtobe;2017-07-24 18:55;0;1;". @ SenShelby Please # protectwildlife and # oppose S. 1514 - # aka the mis-named HELP 4 # Wildlife Act which is really NO # HELP 2 our wildlife!pic.twitter.com/HVrwI7d8ZO";;@;# # # # #;"889620039732785152";https://twitter.com/phdtobe/status/889620039732785152
Kakistocracy15;2017-07-24 18:54;0;0;"@ SenShelby @ SenatorStrange @ SenDanSullivan @ JeffFlake @ JohnBoozman @ MikeCrapo Threatening people to hurt millions of Americans. Winning?https://twitter.com/braddjaffy/status/889618623286980612 …";;@ @ @ @ @ @;;"889619883897565185";https://twitter.com/Kakistocracy15/status/889619883897565185
